cell_id,initial_voltage,initial_impedance,v42_voltage,v42_impedance,capacity
BS-LSBAT-S240629-0234,3.457,11.09,4.17,10.79,5.058
BS-LSBAT-S240629-0235,3.457,11.22,4.18,10.81,5.061
BS-LSBAT-S240629-0236,3.457,11.39,4.18,10.9,5.0524
BS-LSBAT-S240629-0237,3.457,11.25,4.17,10.96,5.0761
BS-LSBAT-S240629-0238,3.457,10.97,4.18,10.84,5.0495
BS-LSBAT-S240629-0239,3.457,11.14,4.17,10.87,5.0471
BS-LSBAT-S240629-0240,3.457,11.03,4.17,10.81,5.0522
BS-LSBAT-S240629-0241,3.457,11.24,4.18,10.77,5.0425
BS-LSBAT-S240629-0242,3.457,11.31,4.18,10.76,5.0371
BS-LSBAT-S240629-0243,3.457,10.81,4.18,10.66,5.0334
BS-LSBAT-S240629-0244,3.457,11.07,4.18,10.64,5.04
BS-LSBAT-S240629-0245,3.457,11.16,4.18,10.71,5.035
BS-LSBAT-S240629-0246,3.457,10.94,4.18,10.67,5.044
BS-LSBAT-S240629-0247,3.457,11.04,4.18,10.71,5.0335
BS-LSBAT-S240629-0248,3.457,11.19,4.18,10.69,5.0399
BS-LSBAT-S240629-0249,3.457,10.93,4.18,10.66,5.0313
BS-LSBAT-S240629-0250,3.457,11.14,4.18,10.68,5.036
BS-LSBAT-S240629-0251,3.457,11.23,4.18,10.64,5.0439
BS-LSBAT-S240629-0252,3.457,11.28,4.18,10.69,5.0444
BS-LSBAT-S240629-0253,3.457,11.04,4.18,10.68,5.0595
BS-LSBAT-S240629-0254,3.457,11.07,4.18,10.77,5.054
BS-LSBAT-S240629-0255,3.457,11.16,4.18,10.72,5.0243
BS-LSBAT-S240629-0256,3.457,10.96,4.18,10.63,5.0314
BS-LSBAT-S240629-0257,3.457,11.06,4.18,10.59,5.0368
BS-LSBAT-S240629-0258,3.457,10.98,4.18,10.64,5.0401
BS-LSBAT-S240629-0259,3.457,11.05,4.18,10.64,5.0584
BS-LSBAT-S240629-0260,3.457,11.05,4.18,10.68,5.0419
BS-LSBAT-S240629-0261,3.46,11.55,4.18,10.68,5.0392
BS-LSBAT-S240629-0262,3.46,11.68,4.18,10.57,5.0391
BS-LSBAT-S240629-0263,3.46,11.45,4.18,10.73,5.0671
BS-LSBAT-S240629-0264,3.46,11.52,4.18,10.52,5.0267
BS-LSBAT-S240629-0265,3.46,12.04,4.18,10.5,5.0206
BS-LSBAT-S240629-0266,3.46,11.49,4.18,10.63,5.0513
BS-LSBAT-S240629-0267,3.46,11.8,4.18,10.56,5.0348
BS-LSBAT-S240629-0268,3.46,11.78,4.18,10.56,5.0422
BS-LSBAT-S240629-0269,3.46,11.77,4.18,10.77,5.0384
BS-LSBAT-S240629-0270,3.46,11.68,4.18,10.4,5.0262
BS-LSBAT-S240629-0271,3.46,11.53,4.18,10.63,5.0441
BS-LSBAT-S240629-0272,3.46,11.63,4.18,10.74,5.0434
BS-LSBAT-S240629-0273,3.46,11.82,4.18,10.64,5.0544
BS-LSBAT-S240629-0274,3.46,11.58,4.18,10.63,5.0549
BS-LSBAT-S240629-0275,3.46,11.75,4.18,10.46,5.0509
BS-LSBAT-S240629-0276,3.46,11.59,4.18,10.46,5.0488
BS-LSBAT-S240629-0277,3.46,11.76,4.18,10.73,5.0473
BS-LSBAT-S240629-0278,3.46,11.59,4.18,10.64,5.0332
BS-LSBAT-S240629-0279,3.46,11.83,4.18,10.64,5.0251
BS-LSBAT-S240629-0280,3.46,12.12,4.18,10.37,5.0086
BS-LSBAT-S240629-0281,3.46,11.81,4.18,10.69,5.0274
BS-LSBAT-S240629-0282,3.46,11.6,4.18,10.66,5.0379
BS-LSBAT-S240629-0283,3.46,11.71,4.18,10.76,5.0484
BS-LSBAT-S240629-0284,3.46,11.86,4.18,10.61,5.0361
BS-LSBAT-S240629-0285,3.46,12.01,4.18,10.48,5.0294
BS-LSBAT-S240629-0286,3.46,11.58,4.18,10.64,5.0489
BS-LSBAT-S240629-0287,3.46,11.78,4.18,10.58,5.0474
BS-LSBAT-S240629-0288,3.46,11.67,4.18,10.44,5.0302
BS-LSBAT-S240629-0289,3.46,11.89,4.19,10.54,5.0244
BS-LSBAT-S240629-0290,3.46,11.69,4.19,10.47,5.0227
BS-LSBAT-S240629-0291,3.46,11.69,4.19,10.66,5.0297
BS-LSBAT-S240629-0292,3.46,11.58,4.19,10.57,5.0459
BS-LSBAT-S240629-0293,3.46,11.88,4.19,10.6,5.0455
BS-LSBAT-S240629-0294,3.46,11.75,4.19,10.66,5.0324
BS-LSBAT-S240629-0295,3.46,11.91,4.19,10.52,5.0232
BS-LSBAT-S240629-0296,3.46,11.72,4.19,10.59,5.0509
BS-LSBAT-S240629-0297,3.46,11.77,4.19,10.6,5.0613
BS-LSBAT-S240629-0298,3.46,11.58,4.19,10.57,5.0363
BS-LSBAT-S240629-0299,3.46,11.75,4.19,10.73,5.0447
BS-LSBAT-S240629-0300,3.46,12.01,4.19,10.63,5.0324
BS-LSBAT-S240629-0301,3.46,11.69,4.19,10.69,5.065
BS-LSBAT-S240629-0302,3.46,11.45,4.19,10.64,5.0541
BS-LSBAT-S240629-0303,3.45,12.01,4.19,10.53,5.038
BS-LSBAT-S240629-0304,3.46,11.59,4.19,10.55,5.0288
BS-LSBAT-S240629-0305,3.46,12.06,4.17,10.44,5.0108
BS-LSBAT-S240629-0306,3.46,11.87,4.179,10.71,5.0428
BS-LSBAT-S240629-0307,3.46,11.94,4.178,10.55,5.0383
BS-LSBAT-S240629-0308,3.46,11.67,4.179,10.51,5.0259
BS-LSBAT-S240629-0309,3.46,11.49,4.179,10.65,5.0444
BS-LSBAT-S240629-0310,3.46,12.04,4.177,10.67,5.0149
BS-LSBAT-S240629-0311,3.46,11.41,4.178,10.58,5.0355
BS-LSBAT-S240629-0312,3.46,11.56,4.178,10.69,5.0545
BS-LSBAT-S240629-0313,3.46,11.62,4.179,10.52,5.0247
BS-LSBAT-S240629-0314,3.46,11.76,4.179,10.77,5.0267
BS-LSBAT-S240629-0315,3.46,11.47,4.179,10.53,5.0338
BS-LSBAT-S240629-0316,3.46,11.87,4.179,10.75,5.0225
BS-LSBAT-S240629-0317,3.46,12.03,4.179,10.68,5.0437
BS-LSBAT-S240629-0318,3.46,11.84,4.178,10.54,5.0385
BS-LSBAT-S240629-0319,3.46,11.76,4.177,10.48,5.0207
BS-LSBAT-S240629-0320,3.46,11.8,4.177,10.39,5.0038
BS-LSBAT-S240629-0321,3.46,11.47,4.179,10.65,5.0206
BS-LSBAT-S240629-0322,3.46,11.78,4.179,10.65,5.0251
BS-LSBAT-S240629-0323,3.46,11.72,4.179,10.7,5.0349
BS-LSBAT-S240629-0324,3.46,11.61,4.18,10.7,5.0323
BS-LSBAT-S240629-0325,3.46,11.87,4.179,10.6,5.0122
BS-LSBAT-S240629-0326,3.46,11.6,4.179,10.57,5.0166
BS-LSBAT-S240629-0327,3.46,11.48,4.179,10.6,5.0344
BS-LSBAT-S240629-0328,3.46,11.56,4.18,10.53,5.0192
BS-LSBAT-S240629-0329,3.46,11.55,4.18,10.63,5.0185
BS-LSBAT-S240629-0330,3.46,12.25,4.179,11.31,4.9989
BS-LSBAT-S240629-0331,3.46,11.74,4.18,10.59,5.0279
BS-LSBAT-S240629-0332,3.46,11.84,4.18,10.56,5.0358
BS-LSBAT-S240629-0333,3.46,11.58,4.181,10.67,5.0357
BS-LSBAT-S240629-0334,3.46,11.73,4.179,10.8,5.0449
BS-LSBAT-S240629-0335,3.46,11.82,4.179,10.44,5.0368
BS-LSBAT-S240629-0336,3.46,11.61,4.178,10.72,5.0193
BS-LSBAT-S240629-0337,3.46,11.42,4.175,10.7,5.0338
BS-LSBAT-S240629-0338,3.46,11.61,4.175,10.82,5.0416
BS-LSBAT-S240629-0339,3.46,11.68,4.175,10.76,4.9474
BS-LSBAT-S240629-0340,3.46,12.14,4.175,11.23,5.0098
BS-LSBAT-S240629-0341,3.46,11.37,4.175,10.68,5.0375
BS-LSBAT-S240629-0342,3.46,11.79,4.174,10.75,5.031
BS-LSBAT-S240629-0343,3.46,11.69,4.175,10.8,5.0482
BS-LSBAT-S240629-0344,3.46,11.63,4.175,10.79,5.0339
BS-LSBAT-S240629-0345,3.46,12.16,4.176,10.68,5.0168
BS-LSBAT-S240629-0346,3.46,11.82,4.176,10.81,5.03
BS-LSBAT-S240629-0347,3.46,11.73,4.175,10.7,5.0366
BS-LSBAT-S240629-0348,3.46,11.67,4.176,10.72,5.0288
BS-LSBAT-S240629-0349,3.46,11.75,4.176,10.73,5.0232
BS-LSBAT-S240629-0350,3.46,12.11,4.175,11.37,5.0086
BS-LSBAT-S240629-0351,3.46,11.82,4.175,10.86,5.0195
BS-LSBAT-S240629-0352,3.46,11.76,4.175,10.73,5.0424
BS-LSBAT-S240629-0353,3.46,11.74,4.177,10.71,5.0346
BS-LSBAT-S240629-0354,3.46,11.7,4.178,10.71,5.0358
BS-LSBAT-S240629-0355,3.46,11.95,4.176,10.61,5.0202
BS-LSBAT-S240629-0356,3.46,12.02,4.177,10.84,5.0376
BS-LSBAT-S240629-0357,3.46,11.77,4.177,10.63,5.0342
BS-LSBAT-S240629-0358,3.46,11.74,4.176,10.68,5.028
BS-LSBAT-S240629-0359,3.46,11.55,4.176,10.73,5.056
BS-LSBAT-S240629-0360,3.46,11.97,4.176,11.2,5.0147
BS-LSBAT-S240629-0361,3.46,11.51,4.177,10.75,5.0351
BS-LSBAT-S240629-0362,3.46,11.79,4.177,10.61,5.0642
BS-LSBAT-S240629-0363,3.46,11.53,4.177,10.69,5.0566
BS-LSBAT-S240629-0364,3.46,11.55,4.177,10.63,5.0521
BS-LSBAT-S240629-0365,3.46,12.11,4.178,10.67,5.0407
BS-LSBAT-S240629-0366,3.46,11.45,4.177,10.7,5.0744
BS-LSBAT-S240629-0367,3.46,11.68,4.177,10.65,5.0448
BS-LSBAT-S240629-0368,3.46,11.72,4.177,10.58,5.0432
BS-LSBAT-S240629-0369,3.46,11.77,4.177,10.69,5.0464
BS-LSBAT-S240629-0370,3.46,11.77,4.178,10.71,5.034
BS-LSBAT-S240629-0371,3.46,11.65,4.177,10.7,5.0366
BS-LSBAT-S240629-0372,3.46,11.6,4.178,10.62,5.0604
BS-LSBAT-S240629-0373,3.46,11.67,4.178,10.57,5.0426
